Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
Mason Mount,Manchester Utd,1.86,-2.04,-0.61,-0.79
Sammie Szmodics,Ipswich Town,2.38,-2.8,-0.43,-0.85
Conor Coady,Leicester City,1.69,-3.73,1.09,-0.95
Sam Johnstone,Wolves,2.24,-4.3,1.09,-0.97
Jannik Vestergaard,Leicester City,1.24,-3.21,1.0,-0.97
Leif Davis,Ipswich Town,2.01,-3.31,0.25,-1.05
Jordan Ayew,Leicester City,2.1,-3.0,-0.15,-1.05
Kalvin Phillips,Ipswich Town,1.6,-2.67,0.01,-1.06
Rasmus Højlund,Manchester Utd,2.11,-2.68,-0.5,-1.07
Dominic Calvert-Lewin,Everton,2.99,-2.99,-1.11,-1.11
Stephy Mavididi,Leicester City,2.28,-3.03,-0.39,-1.14
Joe Aribo,Southampton,1.77,-3.46,0.52,-1.17
Luke Woolfenden,Ipswich Town,1.61,-3.61,0.82,-1.18
Jack Taylor,Ipswich Town,1.57,-2.76,-0.01,-1.2
Flynn Downes,Southampton,1.52,-2.93,0.19,-1.22
Bilal El Khannouss,Leicester City,1.74,-2.91,-0.12,-1.29
Boubakary Soumaré,Leicester City,1.53,-3.2,0.37,-1.3
Alex Palmer,Ipswich Town,1.88,-4.09,0.87,-1.34
Hwang Hee-chan,Wolves,2.52,-3.76,-0.11,-1.35
Patson Daka,Leicester City,1.77,-2.81,-0.33,-1.37
Lesley Ugochukwu,Southampton,1.55,-2.96,0.01,-1.4
Conor Chaplin,Ipswich Town,1.98,-3.31,-0.12,-1.45
Mads Hermansen,Leicester City,1.72,-4.17,0.9,-1.55
Omari Hutchinson,Ipswich Town,1.95,-3.39,-0.21,-1.65
Michail Antonio,West Ham,2.84,-3.62,-0.96,-1.74
Yukinari Sugawara,Southampton,1.84,-3.94,0.32,-1.78
Wes Burns,Ipswich Town,1.71,-3.42,-0.08,-1.79
James Bree,Southampton,1.53,-4.01,0.66,-1.82
Ben Johnson,Ipswich Town,2.18,-3.34,-0.7,-1.86
Aaron Ramsdale,Southampton,1.56,-4.36,0.93,-1.87
Nathan Wood-Gordon,Southampton,1.07,-3.84,0.87,-1.9
George Hirst,Ipswich Town,2.88,-3.81,-1.03,-1.96
Oliver Skipp,Leicester City,1.85,-3.77,-0.06,-1.98
Christian Walton,Ipswich Town,1.69,-4.66,0.92,-2.05
William Smallbone,Southampton,1.57,-3.62,-0.14,-2.19
Liam Delap,Ipswich Town,2.25,-3.53,-1.26,-2.54
Cameron Archer,Southampton,1.73,-3.88,-0.57,-2.72
Adam Armstrong,Southampton,1.73,-4.64,-0.35,-3.26
Paul Onuachu,Southampton,2.28,-4.06,-1.6,-3.38
